STATION,date,DEPTH,LAYER,PARAMETER,AvgValue,LAB,METHOD,PROBLEM,TOTAL_DEPTH
LE1.1,4/22/1985,12,M,SALINITY,13.19,,F01,,12.5
LE1.1,5/6/1985,0.3,M,CHLA,5.735,MDHMH,L02,,10.7
LE1.1,5/6/1985,0.3,M,SALINITY,11.87,,F01,,10.7
LE1.1,5/6/1985,3,M,CHLA,12.51,MDHMH,L02,,10.7
LE1.1,5/6/1985,3,M,SALINITY,12.2,,F01,,10.7
LE1.1,5/6/1985,6.1,M,CHLA,6.82,MDHMH,L02,,10.7
LE1.1,5/6/1985,6.1,M,SALINITY,12.33,,F01,,10.7
LE1.1,5/6/1985,7.5,M,CHLA,4.89,MDHMH,L02,,10.7
LE1.1,5/6/1985,7.5,M,SALINITY,12.59,,F01,,10.7
LE1.1,5/20/1985,0.3,M,CHLA,4.01,MDHMH,L02,,12
LE1.1,5/20/1985,0.3,M,SALINITY,12.46,,F01,,12
LE1.1,5/20/1985,3,M,CHLA,1.44,MDHMH,L02,,12
LE1.1,5/20/1985,3,M,SALINITY,12.4,,F01,,12
LE1.1,5/20/1985,6.1,M,CHLA,1.2,MDHMH,L02,,12
LE1.1,5/20/1985,6.1,M,SALINITY,13.26,,F01,,12
LE1.1,5/20/1985,9.1,M,CHLA,0.96,MDHMH,L02,,12
LE1.1,5/20/1985,9.1,M,SALINITY,13.19,,F01,,12
LE1.1,5/20/1985,11.5,M,CHLA,1.04,MDHMH,L02,,12
LE1.1,5/20/1985,11.5,M,SALINITY,13.33,,F01,,12
LE1.1,6/3/1985,0.3,M,CHLA,4.6,MDHMH,L02,,12.5
LE1.1,6/3/1985,0.3,M,SALINITY,11.54,,F01,,12.5
LE1.1,6/3/1985,3,M,CHLA,7.81,MDHMH,L02,,12.5
LE1.1,6/3/1985,3,M,SALINITY,11.74,,F01,,12.5
LE1.1,6/3/1985,6.1,M,CHLA,0.96,MDHMH,L02,,12.5
LE1.1,6/3/1985,6.1,M,SALINITY,12.4,,F01,,12.5
LE1.1,6/3/1985,9.1,M,CHLA,0.75,MDHMH,L02,,12.5
LE1.1,6/3/1985,9.1,M,SALINITY,12.99,,F01,,12.5
LE1.1,6/3/1985,12,M,CHLA,0.53,MDHMH,L02,,12.5
LE1.1,6/3/1985,12,M,SALINITY,13.39,,F01,,12.5
LE1.1,6/17/1985,0.3,M,CHLA,7.06,MDHMH,L02,,12
LE1.1,6/17/1985,0.3,M,SALINITY,12.13,,F01,,12
LE1.1,6/17/1985,3,M,CHLA,5.21,MDHMH,L02,,12
LE1.1,6/17/1985,3,M,SALINITY,12.4,,F01,,12
LE1.1,6/17/1985,6.1,M,CHLA,5.37,MDHMH,L02,,12
LE1.1,6/17/1985,6.1,M,SALINITY,14.19,,F01,,12
LE1.1,6/17/1985,9.1,M,CHLA,0.88,MDHMH,L02,,12
LE1.1,6/17/1985,9.1,M,SALINITY,14.46,,F01,,12
LE1.1,6/17/1985,11.5,M,CHLA,0.64,MDHMH,L02,,12
LE1.1,6/17/1985,11.5,M,SALINITY,14.46,,F01,,12
LE1.1,7/1/1985,0.3,M,CHLA,17.21,MDHMH,L02,,11.5
LE1.1,7/1/1985,0.3,M,SALINITY,13.26,,F01,,11.5
LE1.1,7/1/1985,3,M,CHLA,14.54,MDHMH,L02,,11.5
LE1.1,7/1/1985,3,M,SALINITY,12.99,,F01,,11.5
LE1.1,7/1/1985,6.1,M,CHLA,8.13,MDHMH,L02,,11.5
LE1.1,7/1/1985,6.1,M,SALINITY,12.93,,F01,,11.5
LE1.1,7/1/1985,9.1,M,CHLA,1.04,MDHMH,L02,,11.5
LE1.1,7/1/1985,9.1,M,SALINITY,13.79,,F01,,11.5
LE1.1,7/1/1985,11.2,M,CHLA,0.88,MDHMH,L02,,11.5
LE1.1,7/1/1985,11.2,M,SALINITY,13.73,,F01,,11.5
LE1.1,7/17/1985,0.3,M,CHLA,7.235,MDHMH,L02,,12.2
LE1.1,7/17/1985,0.3,M,SALINITY,13.26,,F01,,12.2
LE1.1,7/17/1985,3,M,CHLA,7.78,MDHMH,L02,,12.2
LE1.1,7/17/1985,3,M,SALINITY,13.46,,F01,,12.2
LE1.1,7/17/1985,6.1,M,CHLA,2.49,MDHMH,L02,,12.2
LE1.1,7/17/1985,6.1,M,SALINITY,14.01,,F01,,12.2
LE1.1,7/17/1985,9.1,M,CHLA,0.83,MDHMH,L02,,12.2
LE1.1,7/17/1985,9.1,M,SALINITY,14.13,,F01,,12.2
LE1.1,7/17/1985,11.5,M,CHLA,0.28,MDHMH,L02,,12.2
LE1.1,7/17/1985,11.5,M,SALINITY,14.26,,F01,,12.2
LE1.1,8/12/1985,0.3,M,CHLA,2.4,MDHMH,L02,,11
LE1.1,8/12/1985,0.3,M,SALINITY,13.24,,F01,,11
LE1.1,8/12/1985,3,M,CHLA,5.99,MDHMH,L02,,11
LE1.1,8/12/1985,3,M,SALINITY,14.05,,F01,,11
LE1.1,8/12/1985,6.1,M,CHLA,0.8,MDHMH,L02,WW,11
LE1.1,8/12/1985,6.1,M,SALINITY,14.75,,F01,,11
LE1.1,8/12/1985,9.1,M,CHLA,1,MDHMH,L02,,11
LE1.1,8/12/1985,9.1,M,SALINITY,15.47,,F01,,11
LE1.1,8/12/1985,10,M,CHLA,1.07,MDHMH,L02,,11
LE1.1,8/12/1985,10,M,SALINITY,15.46,,F01,,11
LE1.1,8/28/1985,0.3,M,CHLA,3.09,MDHMH,L02,,12
LE1.1,8/28/1985,0.3,M,SALINITY,11.74,,F01,,12
LE1.1,8/28/1985,3,M,CHLA,8.28,MDHMH,L02,,12
LE1.1,8/28/1985,3,M,SALINITY,12.23,,F01,,12
LE1.1,8/28/1985,6.1,M,SALINITY,13.17,,F01,,12
LE1.1,8/28/1985,9.1,M,SALINITY,14.06,,F01,,12
LE1.1,8/28/1985,11.5,M,SALINITY,14.64,,F01,,12
LE1.1,9/16/1985,0.3,M,CHLA,7.19,MDHMH,L02,,12
LE1.1,9/16/1985,0.3,M,SALINITY,15.24,,F01,,12
LE1.1,9/16/1985,3,M,CHLA,3.89,MDHMH,L02,,12
LE1.1,9/16/1985,3,M,SALINITY,15.31,,F01,,12
LE1.1,9/16/1985,6.1,M,CHLA,4.79,MDHMH,L02,,12
LE1.1,9/16/1985,6.1,M,SALINITY,15.45,,F01,,12
LE1.1,9/16/1985,9.1,M,CHLA,5.09,MDHMH,L02,,12
LE1.1,9/16/1985,9.1,M,SALINITY,15.56,,F01,,12
LE1.1,9/16/1985,11,M,CHLA,3.89,MDHMH,L02,,12
LE1.1,9/16/1985,11,M,SALINITY,15.08,,F01,,12
LE1.1,9/30/1985,0.3,M,CHLA,17.63,MDHMH,L02,,12.5
LE1.1,9/30/1985,0.3,M,SALINITY,12.95,,F01,,12.5
LE1.1,9/30/1985,3,M,CHLA,4.32,MDHMH,L02,,12.5
LE1.1,9/30/1985,3,M,SALINITY,14.06,,F01,,12.5
LE1.1,9/30/1985,6.1,M,CHLA,2.4,MDHMH,L02,,12.5
LE1.1,9/30/1985,6.1,M,SALINITY,14.68,,F01,,12.5
LE1.1,9/30/1985,9.1,M,CHLA,2.2,MDHMH,L02,,12.5
LE1.1,9/30/1985,9.1,M,SALINITY,15.1,,F01,,12.5
LE1.1,9/30/1985,11.5,M,CHLA,2.1,MDHMH,L02,,12.5
LE1.1,9/30/1985,11.5,M,SALINITY,16.05,,F01,,12.5
LE1.1,10/15/1985,0.3,M,CHLA,8.08,MDHMH,L02,,12
LE1.1,10/15/1985,0.3,M,SALINITY,14.96,,F01,,12
LE1.1,10/15/1985,3,M,CHLA,3.89,MDHMH,L02,,12
LE1.1,10/15/1985,3,M,SALINITY,14.81,,F01,,12
LE1.1,10/15/1985,6.1,M,CHLA,2.69,MDHMH,L02,,12
LE1.1,10/15/1985,6.1,M,SALINITY,16.19,,F01,,12
LE1.1,10/15/1985,9.1,M,CHLA,2,MDHMH,L02,,12
LE1.1,10/15/1985,9.1,M,SALINITY,16.31,,F01,,12
LE1.1,10/15/1985,11,M,CHLA,1.62,MDHMH,L02,,12
LE1.1,10/15/1985,11,M,SALINITY,16.3,,F01,,12
LE1.1,10/30/1985,0.3,M,CHLA,15.64,MDHMH,L02,,12.5
LE1.1,10/30/1985,0.3,M,SALINITY,15.04,,F01,,12.5
LE1.1,10/30/1985,3,M,CHLA,5.09,MDHMH,L02,,12.5
LE1.1,10/30/1985,3,M,SALINITY,15.27,,F01,,12.5
LE1.1,10/30/1985,6.1,M,CHLA,3.07,MDHMH,L02,,12.5
LE1.1,10/30/1985,6.1,M,SALINITY,15.54,,F01,,12.5
LE1.1,10/30/1985,9.1,M,CHLA,2.99,MDHMH,L02,,12.5
LE1.1,10/30/1985,9.1,M,SALINITY,16.4,,F01,,12.5
LE1.1,10/30/1985,12,M,CHLA,2.4,MDHMH,L02,,12.5
LE1.1,10/30/1985,12,M,SALINITY,16.26,,F01,,12.5
LE1.1,11/18/1985,0.3,M,CHLA,3.67,MDHMH,L02,,12
LE1.1,11/18/1985,0.3,M,SALINITY,14.4,,F01,,12
LE1.1,11/18/1985,3,M,CHLA,2.62,MDHMH,L02,,12
LE1.1,11/18/1985,3,M,SALINITY,14.8,,F01,,12
LE1.1,11/18/1985,6.1,M,CHLA,1.42,MDHMH,L02,,12
LE1.1,11/18/1985,6.1,M,SALINITY,16.02,,F01,,12
LE1.1,11/18/1985,9.1,M,CHLA,2.92,MDHMH,L02,,12
LE1.1,11/18/1985,9.1,M,SALINITY,16.45,,F01,,12
LE1.1,11/18/1985,11,M,CHLA,1.33,MDHMH,L02,,12
LE1.1,11/18/1985,11,M,SALINITY,16.58,,F01,,12
LE1.1,12/16/1985,0.3,M,CHLA,8.46,MDHMH,L02,,11
LE1.1,12/16/1985,0.3,M,SALINITY,12.33,,F01,,11
LE1.1,12/16/1985,3,M,CHLA,8.53,MDHMH,L02,,11
LE1.1,12/16/1985,3,M,SALINITY,12.99,,F01,,11
LE1.1,12/16/1985,6.1,M,CHLA,6.36,MDHMH,L02,,11
LE1.1,12/16/1985,6.1,M,SALINITY,13.33,,F01,,11
LE1.1,12/16/1985,9.1,M,CHLA,6.36,MDHMH,L02,,11
LE1.1,12/16/1985,9.1,M,SALINITY,13.59,,F01,,11
LE1.1,12/16/1985,11,M,CHLA,6.51,MDHMH,L02,,11
LE1.1,12/16/1985,11,M,SALINITY,13.59,,F01,,11
LE1.1,1/13/1986,0.5,S,CHLA,19.06,MDHMH,L02,,12
LE1.1,1/13/1986,0.5,S,SALINITY,12.66,,F01,,12
LE1.1,1/13/1986,3,AP,CHLA,24.55,MDHMH,L02,,12
LE1.1,1/13/1986,3,AP,SALINITY,12.4,,F01,,12
LE1.1,1/13/1986,6.1,M,CHLA,22.85,MDHMH,L02,,12
LE1.1,1/13/1986,6.1,M,SALINITY,13.19,,F01,,12
LE1.1,1/13/1986,9.1,BP,CHLA,22.85,MDHMH,L02,,12
LE1.1,1/13/1986,9.1,BP,SALINITY,13.13,,F01,,12
LE1.1,1/13/1986,11,B,CHLA,24.95,MDHMH,L02,,12
LE1.1,1/13/1986,11,B,SALINITY,13.06,,F01,,12
LE1.1,2/10/1986,0.5,S,CHLA,20.43,MDHMH,L01,,12
LE1.1,2/10/1986,0.5,S,SALINITY,10.76,,F01,,12
LE1.1,2/10/1986,3,AP,CHLA,24.22,MDHMH,L01,,12
LE1.1,2/10/1986,3,AP,SALINITY,11.93,,F01,,12
LE1.1,2/10/1986,6.1,M,CHLA,21.23,MDHMH,L01,,12
LE1.1,2/10/1986,6.1,M,SALINITY,12.59,,F01,,12
LE1.1,2/10/1986,9.1,BP,CHLA,20.04,MDHMH,L01,,12
LE1.1,2/10/1986,9.1,BP,SALINITY,11.47,,F01,,12
LE1.1,2/10/1986,11,B,CHLA,14.95,MDHMH,L01,,12
LE1.1,2/10/1986,11,B,SALINITY,12.66,,F01,,12
LE1.1,3/12/1986,0.5,S,CHLA,10.77,MDHMH,L01,,13
LE1.1,3/12/1986,0.5,S,SALINITY,10.4,,F01,,13
LE1.1,3/12/1986,3,AP,CHLA,9.67,MDHMH,L01,,13
LE1.1,3/12/1986,3,AP,SALINITY,10.56,,F01,,13
LE1.1,3/12/1986,6.1,M,CHLA,14.05,MDHMH,L01,,13
LE1.1,3/12/1986,6.1,M,SALINITY,12.13,,F01,,13
LE1.1,3/12/1986,9.1,BP,CHLA,10.17,MDHMH,L01,,13
LE1.1,3/12/1986,9.1,BP,SALINITY,13.43,,F01,,13
LE1.1,3/12/1986,12,B,CHLA,9.07,MDHMH,L01,,13
LE1.1,3/12/1986,12,B,SALINITY,13.51,,F01,,13
LE1.1,3/26/1986,0.5,S,CHLA,23.77,MDHMH,L01,,12
LE1.1,3/26/1986,0.5,S,SALINITY,10.63,,F01,,12
LE1.1,3/26/1986,3,AP,CHLA,22.43,MDHMH,L01,,12
LE1.1,3/26/1986,3,AP,SALINITY,10.63,,F01,,12
LE1.1,3/26/1986,6.1,M,CHLA,28.71,MDHMH,L01,,12
LE1.1,3/26/1986,6.1,M,SALINITY,11.08,,F01,,12
LE1.1,3/26/1986,9.1,BP,CHLA,33.79,MDHMH,L01,,12
LE1.1,3/26/1986,9.1,BP,SALINITY,11.28,,F01,,12
LE1.1,3/26/1986,11,B,CHLA,35.88,MDHMH,L01,,12
LE1.1,3/26/1986,11,B,SALINITY,11.67,,F01,,12
LE1.1,4/9/1986,0.5,S,CHLA,24.35,MDHMH,L01,,12
LE1.1,4/9/1986,0.5,S,SALINITY,9.85,,F01,,12
LE1.1,4/9/1986,3,AP,CHLA,23.92,MDHMH,L01,,12
LE1.1,4/9/1986,3,AP,SALINITY,10.17,,F01,,12
LE1.1,4/9/1986,6.1,M,CHLA,33.14,MDHMH,L01,,12
LE1.1,4/9/1986,6.1,M,SALINITY,10.3,,F01,,12
LE1.1,4/9/1986,9.1,BP,CHLA,36.88,MDHMH,L01,,12
LE1.1,4/9/1986,9.1,BP,SALINITY,10.3,,F01,,12
LE1.1,4/9/1986,12,B,CHLA,36.38,MDHMH,L01,,12
LE1.1,4/9/1986,12,B,SALINITY,10.24,,F01,,12
LE1.1,4/23/1986,0.5,S,CHLA,16.45,MDHMH,L01,,11.5
LE1.1,4/23/1986,0.5,S,SALINITY,9.91,,F01,,11.5
LE1.1,4/23/1986,3,AP,CHLA,15.55,MDHMH,L01,,11.5
LE1.1,4/23/1986,3,AP,SALINITY,10.24,,F01,,11.5
LE1.1,4/23/1986,6.1,M,CHLA,15.85,MDHMH,L01,,11.5
LE1.1,4/23/1986,6.1,M,SALINITY,10.63,,F01,,11.5
LE1.1,4/23/1986,9.1,BP,CHLA,17.49,MDHMH,L01,,11.5
LE1.1,4/23/1986,9.1,BP,SALINITY,10.95,,F01,,11.5
LE1.1,5/7/1986,0.5,S,CHLA,12.56,MDHMH,L01,,12.5
LE1.1,5/7/1986,0.5,S,SALINITY,9.85,,F01,,12.5
LE1.1,5/7/1986,3,AP,CHLA,13.86,MDHMH,L01,,12.5
LE1.1,5/7/1986,3,AP,SALINITY,10.24,,F01,,12.5
LE1.1,5/7/1986,6.1,M,CHLA,16.05,MDHMH,L01,,12.5
LE1.1,5/7/1986,6.1,M,SALINITY,10.89,,F01,,12.5
LE1.1,5/7/1986,9.1,BP,CHLA,15.05,MDHMH,L01,,12.5
LE1.1,5/7/1986,9.1,BP,SALINITY,11.54,,F01,,12.5
LE1.1,5/7/1986,12,B,CHLA,7.68,MDHMH,L01,,12.5
LE1.1,5/7/1986,12,B,SALINITY,11.93,,F01,,12.5
LE1.1,5/21/1986,0.5,S,CHLA,5.58,MDHMH,L01,,11.9
LE1.1,5/21/1986,0.5,S,SALINITY,10.29,,F01,,11.9
LE1.1,5/21/1986,3,AP,CHLA,4.39,MDHMH,L01,,11.9
LE1.1,5/21/1986,3,AP,SALINITY,10.55,,F01,,11.9
LE1.1,5/21/1986,6.1,M,CHLA,3.29,MDHMH,L01,,11.9
LE1.1,5/21/1986,6.1,M,SALINITY,11.7,,F01,,11.9
LE1.1,5/21/1986,9.1,BP,CHLA,1.79,MDHMH,L01,,11.9
LE1.1,5/21/1986,9.1,BP,SALINITY,12.56,,F01,,11.9
LE1.1,5/21/1986,10.9,B,CHLA,1.5,MDHMH,L01,,11.9
LE1.1,5/21/1986,10.9,B,SALINITY,12.62,,F01,,11.9
LE1.1,6/3/1986,0.5,S,CHLA,9.47,MDHMH,L01,,11.5
LE1.1,6/3/1986,0.5,S,SALINITY,11.47,,F01,,11.5
LE1.1,6/3/1986,3,AP,CHLA,7.97,MDHMH,L01,,11.5
LE1.1,6/3/1986,3,AP,SALINITY,11.61,,F01,,11.5
LE1.1,6/3/1986,6.1,M,CHLA,1.99,MDHMH,L01,,11.5
LE1.1,6/3/1986,6.1,M,SALINITY,12.2,,F01,,11.5
LE1.1,6/3/1986,9.1,BP,CHLA,1.12,MDHMH,L01,,11.5
LE1.1,6/3/1986,9.1,BP,SALINITY,12.53,,F01,,11.5
LE1.1,6/3/1986,11,B,CHLA,3.64,MDHMH,L01,,11.5
LE1.1,6/3/1986,11,B,SALINITY,12.73,,F01,,11.5
LE1.1,6/9/1986,0.5,S,CHLA,7.38,MDHMH,L01,,10.5
LE1.1,6/9/1986,0.5,S,SALINITY,11.61,,F01,,10.5
LE1.1,6/9/1986,3,AP,CHLA,11.96,MDHMH,L01,,10.5
LE1.1,6/9/1986,3,AP,SALINITY,11.54,,F01,,10.5
LE1.1,6/9/1986,6.1,M,CHLA,1,MDHMH,L01,,10.5
LE1.1,6/9/1986,6.1,M,SALINITY,13.53,,F01,,10.5
LE1.1,6/9/1986,9.1,BP,CHLA,0.37,MDHMH,L01,,10.5
LE1.1,6/9/1986,9.1,BP,SALINITY,14.06,,F01,,10.5
LE1.1,6/9/1986,9.5,B,CHLA,0.45,MDHMH,L01,,10.5
LE1.1,6/9/1986,9.5,B,SALINITY,14.06,,F01,,10.5
LE1.1,6/23/1986,0.5,S,CHLA,21.38,MDHMH,L01,,12.5
LE1.1,6/23/1986,0.5,S,SALINITY,14.73,,F01,,12.5
LE1.1,6/23/1986,3,AP,CHLA,10.77,MDHMH,L01,,12.5
LE1.1,6/23/1986,3,AP,SALINITY,15.41,,F01,,12.5
LE1.1,6/23/1986,6.1,M,CHLA,5.98,MDHMH,L01,,12.5
LE1.1,6/23/1986,6.1,M,SALINITY,15.34,,F01,,12.5
LE1.1,6/23/1986,9.1,BP,CHLA,5.83,MDHMH,L01,,12.5
LE1.1,6/23/1986,9.1,BP,SALINITY,14.87,,F01,,12.5
LE1.1,6/23/1986,12,B,CHLA,13.58,MDHMH,L01,,12.5
LE1.1,6/23/1986,12,B,SALINITY,13.66,,F01,,12.5
LE1.1,7/7/1986,0.5,S,CHLA,8.52,MDHMH,L01,,12.2
LE1.1,7/7/1986,0.5,S,SALINITY,12,,F01,,12.2
LE1.1,7/7/1986,3,AP,CHLA,9.72,MDHMH,L01,,12.2
LE1.1,7/7/1986,3,AP,SALINITY,12.26,,F01,,12.2
LE1.1,7/7/1986,6.1,M,CHLA,3.44,MDHMH,L01,,12.2
LE1.1,7/7/1986,6.1,M,SALINITY,12.33,,F01,,12.2
LE1.1,7/7/1986,9.1,BP,CHLA,2.84,MDHMH,L01,,12.2
LE1.1,7/7/1986,9.1,BP,SALINITY,12.59,,F01,,12.2
LE1.1,7/7/1986,11.2,B,CHLA,2.09,MDHMH,L01,,12.2
LE1.1,7/7/1986,11.2,B,SALINITY,13.13,,F01,,12.2
LE1.1,7/21/1986,0.5,S,CHLA,20.63,MDHMH,L01,,12.5
LE1.1,7/21/1986,0.5,S,SALINITY,12.73,,F01,,12.5
LE1.1,7/21/1986,3,AP,CHLA,13.61,MDHMH,L01,,12.5
LE1.1,7/21/1986,3,AP,SALINITY,12.93,,F01,,12.5
LE1.1,7/21/1986,6.1,M,CHLA,2.54,MDHMH,L01,,12.5
LE1.1,7/21/1986,6.1,M,SALINITY,12.99,,F01,,12.5
LE1.1,7/21/1986,9.1,BP,CHLA,1.38,MDHMH,L01,,12.5
LE1.1,7/21/1986,9.1,BP,SALINITY,14.26,,F01,,12.5
LE1.1,7/21/1986,12,B,CHLA,0.9,MDHMH,L01,,12.5
LE1.1,7/21/1986,12,B,SALINITY,14.6,,F01,,12.5
LE1.1,8/4/1986,0.5,S,CHLA,10.3,MDHMH,L01,,12.5
LE1.1,8/4/1986,0.5,S,SALINITY,13.66,,F01,,12.5
LE1.1,8/4/1986,3,AP,CHLA,10.13,MDHMH,L01,,12.5
LE1.1,8/4/1986,3,AP,SALINITY,13.73,,F01,,12.5
LE1.1,8/4/1986,6.1,M,CHLA,4.32,MDHMH,L01,,12.5
LE1.1,8/4/1986,6.1,M,SALINITY,13.93,,F01,,12.5
LE1.1,8/4/1986,9.1,BP,CHLA,1.94,MDHMH,L01,,12.5
LE1.1,8/4/1986,9.1,BP,SALINITY,14.33,,F01,,12.5
LE1.1,8/4/1986,11.5,B,CHLA,1.35,MDHMH,L01,,12.5
LE1.1,8/4/1986,11.5,B,SALINITY,14.4,,F01,,12.5
LE1.1,8/18/1986,0.5,S,CHLA,6.955,MDHMH,L01,,11.5
LE1.1,8/18/1986,0.5,S,SALINITY,12.53,,F01,,11.5
LE1.1,8/18/1986,3,AP,CHLA,5.98,MDHMH,L01,,11.5
LE1.1,8/18/1986,3,AP,SALINITY,12.86,,F01,,11.5
LE1.1,8/18/1986,6.1,M,CHLA,4.93,MDHMH,L01,,11.5
LE1.1,8/18/1986,6.1,M,SALINITY,13.06,,F01,,11.5
LE1.1,8/18/1986,9.1,BP,CHLA,4.93,MDHMH,L01,,11.5
LE1.1,8/18/1986,9.1,BP,SALINITY,13.06,,F01,,11.5
LE1.1,8/18/1986,11.2,B,CHLA,4.64,MDHMH,L01,,11.5
LE1.1,8/18/1986,11.2,B,SALINITY,13.26,,F01,,11.5
LE1.1,9/2/1986,0.5,S,CHLA,15.1,MDHMH,L01,,10
LE1.1,9/2/1986,0.5,S,SALINITY,13.73,,F01,,10
LE1.1,9/2/1986,3,AP,CHLA,5.23,MDHMH,L01,,10
LE1.1,9/2/1986,3,AP,SALINITY,13.98,,F01,,10
LE1.1,9/2/1986,6.1,M,CHLA,1.79,MDHMH,L01,,10
LE1.1,9/2/1986,6.1,M,SALINITY,14.19,,F01,,10
LE1.1,9/2/1986,9.1,BP,CHLA,1.79,MDHMH,L01,,10
LE1.1,9/2/1986,9.1,BP,SALINITY,14.44,,F01,,10
LE1.1,9/15/1986,0.5,S,CHLA,13.08,MDHMH,L01,,12.3
LE1.1,9/15/1986,0.5,S,SALINITY,13.62,,F01,,12.3
LE1.1,9/15/1986,3,AP,CHLA,13.96,MDHMH,L01,,12.3
LE1.1,9/15/1986,3,AP,SALINITY,14.19,,F01,,12.3
LE1.1,9/15/1986,6.1,M,CHLA,3.36,MDHMH,L01,,12.3
LE1.1,9/15/1986,6.1,M,SALINITY,15.55,,F01,,12.3
LE1.1,9/15/1986,9.1,BP,CHLA,1.99,MDHMH,L01,,12.3
LE1.1,9/15/1986,9.1,BP,SALINITY,16.82,,F01,,12.3
LE1.1,9/15/1986,12,B,CHLA,1.37,MDHMH,L01,,12.3
LE1.1,9/15/1986,12,B,SALINITY,17.01,,F01,,12.3
LE1.1,9/22/1986,0.5,S,CHLA,15.295,MDHMH,L01,,12.5
LE1.1,9/22/1986,0.5,S,SALINITY,14.07,,F01,,12.5
LE1.1,9/22/1986,3,AP,CHLA,10.7,MDHMH,L01,,12.5
LE1.1,9/22/1986,3,AP,SALINITY,14.11,,F01,,12.5
LE1.1,9/22/1986,6.1,M,CHLA,3.68,MDHMH,L01,,12.5
LE1.1,9/22/1986,6.1,M,SALINITY,14.52,,F01,,12.5
LE1.1,9/22/1986,9.1,BP,CHLA,2.07,MDHMH,L01,,12.5
LE1.1,9/22/1986,9.1,BP,SALINITY,14.96,,F01,,12.5
LE1.1,9/22/1986,11.5,B,CHLA,1.64,MDHMH,L01,,12.5
LE1.1,9/22/1986,11.5,B,SALINITY,15.24,,F01,,12.5
LE1.1,10/1/1986,0.5,S,CHLA,14.49,MDHMH,L01,,12
LE1.1,10/1/1986,0.5,S,SALINITY,14.13,,F01,,12
LE1.1,10/1/1986,3,AP,CHLA,9.57,MDHMH,L01,,12
LE1.1,10/1/1986,3,AP,SALINITY,14.52,,F01,,12
LE1.1,10/1/1986,6.1,M,CHLA,2.59,MDHMH,L01,,12
LE1.1,10/1/1986,6.1,M,SALINITY,15.04,,F01,,12
LE1.1,10/1/1986,9.1,BP,CHLA,1.2,MDHMH,L01,,12
LE1.1,10/1/1986,9.1,BP,SALINITY,16.09,,F01,,12
LE1.1,10/1/1986,11,B,CHLA,1.15,MDHMH,L01,,12
LE1.1,10/1/1986,11,B,SALINITY,16.29,,F01,,12
LE1.1,10/6/1986,0.5,S,CHLA,6.76,MDHMH,L01,,11.5
LE1.1,10/6/1986,0.5,S,SALINITY,15.22,,F01,,11.5
LE1.1,10/6/1986,3,AP,CHLA,7.33,MDHMH,L01,,11.5
LE1.1,10/6/1986,3,AP,SALINITY,15.27,,F01,,11.5
LE1.1,10/6/1986,6.1,M,CHLA,6.13,MDHMH,L01,,11.5
